Run,niche_category,soil
ERR131834,rhizosphere,Clayton
ERR131835,rhizosphere,Clayton
ERR131836,rhizosphere,Clayton
ERR131837,rhizosphere,Clayton
ERR131838,rhizosphere,Clayton
ERR131839,rhizosphere,Clayton
ERR131840,rhizosphere,Clayton
ERR131841,rhizosphere,Clayton
ERR131842,rhizosphere,Clayton
ERR131843,rhizosphere,Mason Farm
ERR131844,rhizosphere,Clayton
ERR131845,rhizosphere,Clayton
ERR131846,rhizosphere,Clayton
ERR131847,rhizosphere,Clayton
ERR131848,rhizosphere,Clayton
ERR131849,rhizosphere,Clayton
ERR131850,rhizosphere,Clayton
ERR131851,rhizosphere,Clayton
ERR131852,rhizosphere,Clayton
ERR131853,rhizosphere,Mason Farm
ERR131854,rhizosphere,Clayton
ERR131855,rhizosphere,Clayton
ERR131856,rhizosphere,Clayton
ERR131857,rhizosphere,Clayton
ERR131858,rhizosphere,Clayton
ERR131859,rhizosphere,Clayton
ERR131860,rhizosphere,Clayton
ERR131861,rhizosphere,Clayton
ERR131862,rhizosphere,Clayton
ERR131863,rhizosphere,Mason Farm
ERR131864,rhizosphere,Clayton
ERR131865,rhizosphere,Clayton
ERR131866,rhizosphere,Clayton
ERR131867,rhizosphere,Clayton
ERR131868,rhizosphere,Clayton
ERR131869,rhizosphere,Clayton
ERR131870,rhizosphere,Clayton
ERR131871,rhizosphere,Clayton
ERR131872,rhizosphere,Clayton
ERR131873,rhizosphere,Clayton
ERR131874,rhizosphere,Mason Farm
ERR131875,rhizosphere,Clayton
ERR131876,rhizosphere,Clayton
ERR131877,rhizosphere,Clayton
ERR131878,rhizosphere,Clayton
ERR131879,rhizosphere,Clayton
ERR131880,rhizosphere,Clayton
ERR131881,rhizosphere,Mason Farm
ERR131882,rhizosphere,Clayton
ERR131883,rhizosphere,Clayton
ERR131884,rhizosphere,Clayton
ERR131885,rhizosphere,Clayton
ERR131886,rhizosphere,Clayton
ERR131887,rhizosphere,Clayton
ERR131888,rhizosphere,Clayton
ERR131889,rhizosphere,Clayton
ERR131890,rhizosphere,Clayton
ERR131891,rhizosphere,Mason Farm
ERR131892,rhizosphere,Clayton
ERR131893,rhizosphere,Clayton
ERR131894,rhizosphere,Clayton
ERR131895,rhizosphere,Clayton
ERR131896,rhizosphere,Clayton
ERR131897,rhizosphere,Clayton
ERR131898,rhizosphere,Clayton
ERR131899,rhizosphere,Clayton
ERR131900,rhizosphere,Clayton
ERR131901,rhizosphere,Clayton
ERR131902,rhizosphere,Clayton
ERR131903,rhizosphere,Clayton
ERR131904,rhizosphere,Clayton
ERR131905,rhizosphere,Clayton
ERR131906,rhizosphere,Clayton
ERR131910,rhizosphere,Mason Farm
ERR131916,rhizosphere,Clayton
ERR131917,rhizosphere,Clayton
ERR131918,rhizosphere,Mason Farm
ERR131920,rhizosphere,Clayton
ERR131921,rhizosphere,Clayton
ERR131922,rhizosphere,Clayton
ERR131923,rhizosphere,Clayton
ERR131924,rhizosphere,Clayton
ERR131925,rhizosphere,Clayton
ERR131926,rhizosphere,Clayton
ERR131927,rhizosphere,Clayton
ERR131928,rhizosphere,Clayton
ERR131929,rhizosphere,Clayton
ERR131930,rhizosphere,Mason Farm
ERR131931,rhizosphere,Clayton
ERR131932,rhizosphere,Clayton
ERR131933,rhizosphere,Clayton
ERR131934,rhizosphere,Clayton
ERR131935,rhizosphere,Clayton
ERR131936,rhizosphere,Clayton
ERR131937,rhizosphere,Clayton
ERR131938,rhizosphere,Clayton
ERR131939,rhizosphere,Clayton
ERR131940,rhizosphere,Clayton
ERR131941,rhizosphere,Mason Farm
ERR131942,rhizosphere,Clayton
ERR131943,rhizosphere,Clayton
ERR131944,rhizosphere,Clayton
ERR131945,rhizosphere,Clayton
ERR131946,rhizosphere,Clayton
ERR131959,rhizosphere,Mason Farm
ERR131970,rhizosphere,Mason Farm
ERR131990,rhizosphere,Mason Farm
ERR132005,rhizosphere,Mason Farm
ERR132016,rhizosphere,Mason Farm
ERR132033,rhizosphere,Mason Farm
ERR132041,rhizosphere,Mason Farm
ERR132050,rhizosphere,Mason Farm
ERR132060,rhizosphere,Mason Farm
ERR132080,rhizosphere,Mason Farm
ERR132086,rhizosphere,Mason Farm
ERR132105,rhizosphere,Mason Farm
ERR132113,rhizosphere,Mason Farm
ERR132120,rhizosphere,Mason Farm
ERR132131,rhizosphere,Mason Farm
ERR132140,rhizosphere,Mason Farm
ERR132151,rhizosphere,Mason Farm
ERR132160,rhizosphere,Mason Farm
ERR132166,rhizosphere,Mason Farm
ERR132167,rhizosphere,Mason Farm
ERR132168,rhizosphere,Mason Farm
ERR132169,rhizosphere,Mason Farm
ERR132170,rhizosphere,Mason Farm
ERR132171,rhizosphere,Mason Farm
ERR132172,rhizosphere,Mason Farm
ERR132173,rhizosphere,Mason Farm
ERR132174,rhizosphere,Mason Farm
ERR132175,rhizosphere,Mason Farm
ERR132176,rhizosphere,Mason Farm
ERR132177,rhizosphere,Mason Farm
ERR132178,rhizosphere,Mason Farm
ERR132179,rhizosphere,Mason Farm
ERR132180,rhizosphere,Mason Farm
ERR132181,rhizosphere,Mason Farm
ERR132182,rhizosphere,Mason Farm
ERR132183,rhizosphere,Mason Farm
ERR132184,rhizosphere,Mason Farm
ERR132185,rhizosphere,Mason Farm
ERR132186,rhizosphere,Mason Farm
ERR132187,rhizosphere,Mason Farm
ERR132188,rhizosphere,Mason Farm
ERR132189,rhizosphere,Mason Farm
ERR132190,rhizosphere,Mason Farm
ERR132192,rhizosphere,Mason Farm
ERR132193,rhizosphere,Mason Farm
ERR132194,rhizosphere,Mason Farm
ERR132195,rhizosphere,Mason Farm
ERR132196,rhizosphere,Mason Farm
ERR132197,rhizosphere,Mason Farm
ERR132198,rhizosphere,Mason Farm
ERR132199,rhizosphere,Mason Farm
ERR132200,rhizosphere,Mason Farm
ERR132202,rhizosphere,Mason Farm
ERR132203,rhizosphere,Mason Farm
ERR132204,rhizosphere,Mason Farm
ERR132205,rhizosphere,Mason Farm
ERR132206,rhizosphere,Mason Farm
ERR132207,rhizosphere,Mason Farm
ERR132208,rhizosphere,Mason Farm
ERR132209,rhizosphere,Mason Farm
ERR132210,rhizosphere,Mason Farm
ERR132211,rhizosphere,Mason Farm
ERR132213,rhizosphere,Mason Farm
ERR132214,rhizosphere,Mason Farm
ERR132215,rhizosphere,Mason Farm
ERR132216,rhizosphere,Mason Farm
ERR132217,rhizosphere,Mason Farm
ERR132218,rhizosphere,Mason Farm
ERR132219,rhizosphere,Mason Farm
ERR132220,rhizosphere,Mason Farm
ERR132221,rhizosphere,Mason Farm
ERR132222,rhizosphere,Mason Farm
ERR132224,rhizosphere,Mason Farm
ERR132225,rhizosphere,Mason Farm
ERR132226,rhizosphere,Mason Farm
ERR132227,rhizosphere,Mason Farm
ERR132228,rhizosphere,Mason Farm
ERR132229,rhizosphere,Mason Farm
ERR132230,rhizosphere,Mason Farm
ERR132231,rhizosphere,Mason Farm
ERR132232,rhizosphere,Mason Farm
ERR132233,rhizosphere,Mason Farm
ERR132235,rhizosphere,Mason Farm
ERR132236,rhizosphere,Mason Farm
ERR132237,rhizosphere,Mason Farm
ERR132238,rhizosphere,Mason Farm
ERR132239,rhizosphere,Mason Farm
ERR132240,rhizosphere,Mason Farm
ERR132241,rhizosphere,Mason Farm
ERR132242,rhizosphere,Mason Farm
ERR132243,rhizosphere,Mason Farm
ERR132244,rhizosphere,Mason Farm
ERR132245,rhizosphere,Mason Farm
ERR132246,rhizosphere,Mason Farm
ERR132247,rhizosphere,Mason Farm
ERR132259,rhizosphere,Mason Farm
ERR132260,rhizosphere,Mason Farm
ERR132261,rhizosphere,Mason Farm
ERR132262,rhizosphere,Mason Farm
ERR132263,rhizosphere,Mason Farm
ERR132264,rhizosphere,Mason Farm
ERR132266,rhizosphere,Mason Farm
ERR132267,rhizosphere,Mason Farm
ERR132268,rhizosphere,Mason Farm
ERR132269,rhizosphere,Mason Farm
ERR132270,rhizosphere,Mason Farm
ERR132271,rhizosphere,Mason Farm
ERR132272,rhizosphere,Mason Farm
ERR132273,rhizosphere,Mason Farm
ERR132274,rhizosphere,Mason Farm
ERR132275,rhizosphere,Mason Farm
ERR132277,rhizosphere,Mason Farm
ERR132278,rhizosphere,Mason Farm
ERR132279,rhizosphere,Mason Farm
ERR132280,rhizosphere,Mason Farm
ERR132281,rhizosphere,Mason Farm
ERR132282,rhizosphere,Mason Farm
ERR132283,rhizosphere,Mason Farm
ERR132284,rhizosphere,Mason Farm
ERR132285,rhizosphere,Mason Farm
ERR132286,rhizosphere,Mason Farm
ERR132288,rhizosphere,Mason Farm
ERR132289,rhizosphere,Mason Farm
ERR132290,rhizosphere,Mason Farm
ERR132291,rhizosphere,Mason Farm
ERR132292,rhizosphere,Mason Farm
ERR132293,rhizosphere,Mason Farm
ERR132294,rhizosphere,Mason Farm
ERR132295,rhizosphere,Mason Farm
ERR132297,rhizosphere,Mason Farm
ERR132298,rhizosphere,Mason Farm
ERR132299,rhizosphere,Mason Farm
ERR132300,rhizosphere,Mason Farm
ERR132301,rhizosphere,Mason Farm
ERR132302,rhizosphere,Mason Farm
ERR132303,rhizosphere,Mason Farm
ERR132304,rhizosphere,Mason Farm
ERR132305,rhizosphere,Mason Farm
ERR132306,rhizosphere,Mason Farm
ERR132307,rhizosphere,Mason Farm
ERR132309,rhizosphere,Mason Farm
ERR132310,rhizosphere,Mason Farm
ERR132311,rhizosphere,Mason Farm
ERR132312,rhizosphere,Mason Farm
ERR132313,rhizosphere,Mason Farm
ERR132314,rhizosphere,Mason Farm
ERR132315,rhizosphere,Mason Farm
ERR132316,rhizosphere,Mason Farm
ERR132317,rhizosphere,Mason Farm
ERR132318,rhizosphere,Mason Farm
ERR132320,rhizosphere,Mason Farm
ERR132321,rhizosphere,Mason Farm
ERR132322,rhizosphere,Mason Farm
ERR132323,rhizosphere,Mason Farm
ERR132324,rhizosphere,Mason Farm
ERR132325,rhizosphere,Mason Farm
ERR132326,rhizosphere,Mason Farm
ERR132327,rhizosphere,Mason Farm
ERR132328,rhizosphere,Mason Farm
ERR132329,rhizosphere,Mason Farm
ERR132331,rhizosphere,Mason Farm
ERR132332,rhizosphere,Mason Farm
ERR132333,rhizosphere,Mason Farm
ERR132334,rhizosphere,Mason Farm
ERR132346,rhizosphere,Mason Farm
ERR132347,rhizosphere,Mason Farm
ERR132348,rhizosphere,Mason Farm
ERR132349,rhizosphere,Mason Farm
ERR132351,rhizosphere,Mason Farm
ERR132352,rhizosphere,Mason Farm
ERR132353,rhizosphere,Mason Farm
ERR132354,rhizosphere,Mason Farm
ERR132355,rhizosphere,Mason Farm
ERR132373,rhizosphere,Mason Farm
ERR132374,rhizosphere,Mason Farm
ERR132375,rhizosphere,Mason Farm
ERR132376,rhizosphere,Mason Farm
ERR132377,rhizosphere,Mason Farm
ERR132378,rhizosphere,Mason Farm
ERR132379,rhizosphere,Mason Farm
ERR132380,rhizosphere,Mason Farm
ERR132402,rhizosphere,Mason Farm
ERR132403,rhizosphere,Mason Farm
ERR132404,rhizosphere,Mason Farm
ERR132405,rhizosphere,Mason Farm
ERR132406,rhizosphere,Mason Farm
ERR132407,rhizosphere,Mason Farm
ERR132443,rhizosphere,Mason Farm
ERR132462,rhizosphere,Clayton
ERR132516,rhizosphere,Mason Farm
ERR132517,rhizosphere,Mason Farm
ERR132518,rhizosphere,Mason Farm
ERR132519,rhizosphere,Mason Farm
ERR132521,rhizosphere,Mason Farm
ERR133100,rhizosphere,Mason Farm
ERR133101,rhizosphere,Mason Farm
ERR133102,rhizosphere,Mason Farm
ERR133103,rhizosphere,Mason Farm
ERR133104,rhizosphere,Mason Farm
ERR133105,rhizosphere,Mason Farm
ERR133106,rhizosphere,Mason Farm
ERR133107,rhizosphere,Mason Farm
ERR133108,rhizosphere,Mason Farm
ERR133109,rhizosphere,Mason Farm
ERR133110,rhizosphere,Mason Farm
ERR133111,rhizosphere,Mason Farm
ERR133112,rhizosphere,Mason Farm
ERR133113,rhizosphere,Mason Farm
ERR133114,rhizosphere,Mason Farm
ERR133115,rhizosphere,Mason Farm
ERR133116,rhizosphere,Mason Farm
ERR133117,rhizosphere,Mason Farm
ERR133118,rhizosphere,Mason Farm
ERR133119,rhizosphere,Mason Farm
ERR133120,rhizosphere,Mason Farm
ERR133121,rhizosphere,Mason Farm
ERR133122,rhizosphere,Mason Farm
ERR133123,rhizosphere,Mason Farm
ERR133124,rhizosphere,Mason Farm
ERR133125,rhizosphere,Mason Farm
ERR133127,rhizosphere,Mason Farm
ERR133128,rhizosphere,Mason Farm
ERR133129,rhizosphere,Mason Farm
ERR133130,rhizosphere,Mason Farm
ERR133131,rhizosphere,Mason Farm
ERR133132,rhizosphere,Mason Farm
ERR133133,rhizosphere,Mason Farm
ERR133134,rhizosphere,Mason Farm
ERR133147,rhizosphere,Mason Farm
ERR133148,rhizosphere,Mason Farm
ERR133149,rhizosphere,Mason Farm
ERR133150,rhizosphere,Mason Farm
ERR133151,rhizosphere,Mason Farm
ERR133152,rhizosphere,Mason Farm
ERR133153,rhizosphere,Mason Farm
ERR133154,rhizosphere,Mason Farm
ERR133155,rhizosphere,Mason Farm
ERR133156,rhizosphere,Mason Farm
ERR133157,rhizosphere,Mason Farm
ERR133158,rhizosphere,Mason Farm
ERR133159,rhizosphere,Mason Farm
ERR133160,rhizosphere,Mason Farm
ERR133161,rhizosphere,Mason Farm
ERR133162,rhizosphere,Mason Farm
ERR133163,rhizosphere,Mason Farm
ERR133164,rhizosphere,Mason Farm
ERR133165,rhizosphere,Mason Farm
ERR133166,rhizosphere,Mason Farm
ERR133167,rhizosphere,Mason Farm
ERR133168,rhizosphere,Mason Farm
ERR133169,rhizosphere,Mason Farm
ERR133170,rhizosphere,Mason Farm
ERR133171,rhizosphere,Mason Farm
ERR133172,rhizosphere,Mason Farm
ERR133173,rhizosphere,Mason Farm
ERR133174,rhizosphere,Mason Farm
ERR133175,rhizosphere,Mason Farm
ERR133178,rhizosphere,Mason Farm
ERR133179,rhizosphere,Mason Farm
ERR133180,rhizosphere,Mason Farm
ERR133181,rhizosphere,Mason Farm
ERR133182,rhizosphere,Mason Farm
ERR133183,rhizosphere,Mason Farm
ERR133184,rhizosphere,Mason Farm
ERR133185,rhizosphere,Mason Farm
ERR133186,rhizosphere,Mason Farm
ERR133187,rhizosphere,Mason Farm
ERR133189,rhizosphere,Mason Farm
ERR133190,rhizosphere,Mason Farm
ERR133191,rhizosphere,Mason Farm
ERR133192,rhizosphere,Mason Farm
ERR133193,rhizosphere,Mason Farm
ERR133194,rhizosphere,Mason Farm
ERR133195,rhizosphere,Mason Farm
ERR133196,rhizosphere,Mason Farm
ERR133197,rhizosphere,Mason Farm
ERR133199,rhizosphere,Mason Farm
ERR133200,rhizosphere,Mason Farm
ERR133201,rhizosphere,Mason Farm
ERR133202,rhizosphere,Mason Farm
ERR133203,rhizosphere,Mason Farm
ERR133204,rhizosphere,Mason Farm
ERR133205,rhizosphere,Mason Farm
ERR133206,rhizosphere,Mason Farm
ERR133207,rhizosphere,Mason Farm
ERR133208,rhizosphere,Mason Farm
ERR133209,rhizosphere,Mason Farm
ERR133210,rhizosphere,Mason Farm
ERR133211,rhizosphere,Mason Farm
ERR133212,rhizosphere,Mason Farm
ERR133213,rhizosphere,Mason Farm
ERR133214,rhizosphere,Mason Farm
ERR133215,rhizosphere,Mason Farm
ERR133216,rhizosphere,Mason Farm
ERR133217,rhizosphere,Mason Farm
ERR133218,rhizosphere,Mason Farm
ERR133219,rhizosphere,Mason Farm
ERR133220,rhizosphere,Mason Farm
ERR133221,rhizosphere,Mason Farm
ERR133222,rhizosphere,Mason Farm
ERR133223,rhizosphere,Mason Farm
ERR133224,rhizosphere,Clayton
ERR133225,rhizosphere,Clayton
ERR133226,rhizosphere,Clayton
ERR133227,rhizosphere,Clayton
ERR133228,rhizosphere,Clayton
ERR133230,rhizosphere,Clayton
ERR133231,rhizosphere,Clayton
ERR133232,rhizosphere,Clayton
ERR133233,rhizosphere,Clayton
ERR133234,rhizosphere,Clayton
ERR133235,rhizosphere,Clayton
ERR133236,rhizosphere,Clayton
ERR133237,rhizosphere,Clayton
ERR133238,rhizosphere,Clayton
ERR133239,rhizosphere,Clayton
ERR133241,rhizosphere,Clayton
ERR133242,rhizosphere,Clayton
ERR133243,rhizosphere,Clayton
ERR133244,rhizosphere,Clayton
ERR133245,rhizosphere,Clayton
ERR133246,rhizosphere,Clayton
ERR133247,rhizosphere,Clayton
ERR133248,rhizosphere,Clayton
ERR133249,rhizosphere,Clayton
ERR133250,rhizosphere,Clayton
ERR133251,rhizosphere,Mason Farm
ERR133252,rhizosphere,Clayton
ERR133253,rhizosphere,Clayton
ERR133254,rhizosphere,Clayton
ERR133255,rhizosphere,Clayton
ERR133256,rhizosphere,Clayton
ERR133257,rhizosphere,Clayton
ERR133258,rhizosphere,Clayton
ERR133259,rhizosphere,Clayton
ERR133260,rhizosphere,Clayton
ERR133261,rhizosphere,Clayton
ERR133262,rhizosphere,Mason Farm
ERR133273,rhizosphere,Mason Farm
ERR133274,rhizosphere,Clayton
ERR133275,rhizosphere,Clayton
ERR133276,rhizosphere,Clayton
ERR133277,rhizosphere,Clayton
ERR133278,rhizosphere,Clayton
ERR133279,rhizosphere,Clayton
ERR133280,rhizosphere,Clayton
ERR133281,rhizosphere,Clayton
ERR133282,rhizosphere,Mason Farm
ERR133283,rhizosphere,Clayton
ERR133284,rhizosphere,Clayton
ERR133285,rhizosphere,Clayton
ERR133286,rhizosphere,Clayton
ERR133287,rhizosphere,Clayton
ERR133288,rhizosphere,Clayton
ERR133289,rhizosphere,Clayton
ERR133290,rhizosphere,Clayton
ERR133291,rhizosphere,Clayton
ERR133292,rhizosphere,Clayton
ERR133293,rhizosphere,Clayton
ERR133294,rhizosphere,Mason Farm
ERR133295,rhizosphere,Clayton
ERR133296,rhizosphere,Clayton
ERR133297,rhizosphere,Clayton
ERR133298,rhizosphere,Clayton
ERR133299,rhizosphere,Clayton
ERR133300,rhizosphere,Clayton
ERR133301,rhizosphere,Clayton
ERR133302,rhizosphere,Clayton
ERR133303,rhizosphere,Clayton
ERR133304,rhizosphere,Clayton
ERR133305,rhizosphere,Mason Farm
ERR133306,rhizosphere,Clayton
ERR133307,rhizosphere,Clayton
ERR133308,rhizosphere,Clayton
ERR133309,rhizosphere,Clayton
ERR133310,rhizosphere,Clayton
ERR133311,rhizosphere,Clayton
ERR133312,rhizosphere,Clayton
ERR133313,rhizosphere,Clayton
ERR133314,rhizosphere,Clayton
ERR133315,rhizosphere,Clayton
ERR133316,rhizosphere,Mason Farm
ERR133317,rhizosphere,Clayton
ERR133318,rhizosphere,Clayton
ERR133319,rhizosphere,Clayton
ERR133320,rhizosphere,Clayton
ERR133321,rhizosphere,Clayton
ERR133322,rhizosphere,Clayton
ERR133323,rhizosphere,Clayton
ERR133324,rhizosphere,Clayton
ERR133325,rhizosphere,Clayton
ERR133326,rhizosphere,Mason Farm
ERR133327,rhizosphere,Clayton
ERR133328,rhizosphere,Clayton
ERR133329,rhizosphere,Clayton
ERR133330,rhizosphere,Clayton
ERR133331,rhizosphere,Clayton
ERR133332,rhizosphere,Clayton
ERR133333,rhizosphere,Clayton
ERR133334,rhizosphere,Clayton
ERR133335,rhizosphere,Clayton
ERR133336,rhizosphere,Clayton
ERR133337,rhizosphere,Mason Farm
ERR133338,rhizosphere,Clayton
ERR133339,rhizosphere,Clayton
ERR133340,rhizosphere,Clayton
ERR133341,rhizosphere,Clayton
ERR133342,rhizosphere,Clayton
ERR133343,rhizosphere,Clayton
ERR133344,rhizosphere,Clayton
ERR133345,rhizosphere,Clayton
ERR133346,rhizosphere,Clayton
ERR133347,rhizosphere,Clayton
ERR133348,rhizosphere,Clayton
ERR133349,rhizosphere,Clayton
ERR133350,rhizosphere,Clayton
ERR133351,rhizosphere,Clayton
ERR133352,rhizosphere,Clayton
ERR133353,rhizosphere,Clayton
ERR133354,rhizosphere,Clayton
ERR133355,rhizosphere,Clayton
ERR133356,rhizosphere,Clayton
ERR133357,rhizosphere,Clayton
ERR133369,rhizosphere,Clayton
ERR133370,rhizosphere,Clayton
ERR133371,rhizosphere,Clayton
ERR133372,rhizosphere,Clayton
ERR133373,rhizosphere,Clayton
ERR133374,rhizosphere,Clayton
ERR133375,rhizosphere,Clayton
ERR133376,rhizosphere,Clayton
ERR133377,rhizosphere,Clayton
ERR133378,rhizosphere,Clayton
ERR133379,rhizosphere,Clayton
ERR133380,rhizosphere,Clayton
ERR133381,rhizosphere,Clayton
ERR133382,rhizosphere,Clayton
ERR133383,rhizosphere,Clayton
ERR133384,rhizosphere,Clayton
ERR133385,rhizosphere,Clayton
ERR133386,rhizosphere,Clayton
ERR133387,rhizosphere,Clayton
ERR133388,rhizosphere,Clayton
ERR133389,rhizosphere,Clayton
ERR133391,rhizosphere,Clayton
ERR133392,rhizosphere,Clayton
ERR133393,rhizosphere,Clayton
ERR133394,rhizosphere,Clayton
ERR133395,rhizosphere,Clayton
ERR133396,rhizosphere,Clayton
ERR133397,rhizosphere,Clayton
ERR133398,rhizosphere,Clayton
ERR133399,rhizosphere,Clayton
ERR133400,rhizosphere,Clayton
ERR133401,rhizosphere,Clayton
ERR133403,rhizosphere,Clayton
ERR133404,rhizosphere,Clayton
ERR133405,rhizosphere,Clayton
ERR133406,rhizosphere,Clayton
ERR133407,rhizosphere,Clayton
ERR133408,rhizosphere,Clayton
ERR133409,rhizosphere,Clayton
ERR133410,rhizosphere,Clayton
ERR133411,rhizosphere,Clayton
ERR133412,rhizosphere,Clayton
ERR133414,rhizosphere,Clayton
ERR133415,rhizosphere,Clayton
ERR133416,rhizosphere,Clayton
ERR133417,rhizosphere,Clayton
ERR133418,rhizosphere,Clayton
ERR133419,rhizosphere,Clayton
ERR133421,rhizosphere,Mason Farm
ERR133444,rhizosphere,Mason Farm
ERR133480,rhizosphere,Mason Farm
ERR133485,rhizosphere,Mason Farm
ERR133488,rhizosphere,Mason Farm
ERR133519,rhizosphere,Mason Farm
ERR133526,rhizosphere,Mason Farm
ERR133546,rhizosphere,Mason Farm
ERR133554,rhizosphere,Mason Farm
ERR133563,rhizosphere,Mason Farm
ERR133572,rhizosphere,Mason Farm
ERR133576,rhizosphere,Mason Farm
ERR133577,rhizosphere,Mason Farm
ERR133584,rhizosphere,Mason Farm
ERR133592,rhizosphere,Mason Farm
ERR133596,rhizosphere,Mason Farm
ERR133597,rhizosphere,Clayton
ERR133641,rhizosphere,Clayton
ERR133642,rhizosphere,Clayton
ERR133643,rhizosphere,Clayton
ERR133644,rhizosphere,Clayton
ERR133646,rhizosphere,Clayton
ERR133647,rhizosphere,Clayton
ERR133648,rhizosphere,Clayton
ERR133649,rhizosphere,Clayton
ERR133650,rhizosphere,Clayton
ERR133651,rhizosphere,Clayton
ERR133652,rhizosphere,Clayton
ERR133653,rhizosphere,Clayton
ERR133654,rhizosphere,Clayton
ERR133656,rhizosphere,Clayton
ERR133657,rhizosphere,Clayton
ERR133658,rhizosphere,Clayton
ERR133659,rhizosphere,Clayton
ERR133660,rhizosphere,Clayton
ERR133661,rhizosphere,Clayton
ERR133662,rhizosphere,Clayton
ERR133663,rhizosphere,Clayton
ERR133664,rhizosphere,Clayton
ERR133666,rhizosphere,Clayton
ERR133667,rhizosphere,Clayton
ERR133668,rhizosphere,Clayton
ERR133669,rhizosphere,Clayton
ERR133670,rhizosphere,Clayton
ERR133671,rhizosphere,Clayton
ERR133673,rhizosphere,Clayton
ERR131919,endosphere,Clayton
ERR131947,endosphere,Mason Farm
ERR131948,endosphere,Mason Farm
ERR131949,endosphere,Mason Farm
ERR131950,endosphere,Mason Farm
ERR131951,endosphere,Mason Farm
ERR131952,endosphere,Mason Farm
ERR131953,endosphere,Mason Farm
